CodigoExterno,Nombre,CodigoEstado,FechaCierre,Estado,Descripcion
1000813-24-LE25,Mant. red sanitaria y bomba agua 4a BRIACO y CIE,5,2025-08-26T15:00:00,Publicada,Existe la necesidad de contratación de los servicios de “Mantenimiento a la red sanitaria y bombas de agua en dependencias de la 4ª BRIACO “Chorrillos” y CIE “Santa María”.
1001546-13-LE25,SERVICIO DE ARRIENDO IMPRESORAS POR 36 MESES,8,2025-07-29T18:00:00,Adjudicada,"Servicio de arriendo de tres impresoras láser multifuncionales, monocromáticas y a color, para alta velocidad de impresión, por un plazo de 36 meses, para el Primer Tribunal Ambiental"
1002588-36-LE25,CAPACITACIÓN DE DESARROLLO DE HABILIDADES,15,2025-08-14T12:52:38.7,Revocada,"Servicio de capacitación de Desarrollo de habilidades cognitivas y metacognitivas en Lenguaje, destinado a docentes de la Escuela Cardenal José María Caro Del Servicio Local de Educación Pública Puerto Cordillera."
1002588-57-LE25,Traslado estudiantes para Esc. Rep. de Grecia,8,2025-07-14T15:00:00,Adjudicada,Servicio de traslado para salidas pedagógicas destinado a estudiantes de la escuela República de Grecia
1002588-70-L125,Servicio de producción para actividades recreativas del plan integral del Instituto Superior de Comercio,8,2025-08-07T15:00:00,,
1002588-77-L125,Servicio De Producción Para Actividades Formales Relevantes Del Liceo De Ciencias Y Humanidades San Josemaría Escrivá De Balaguer,6,2025-08-14T14:30:00,,
1002588-78-L125,"Servicio de traslado de salidas pedagógicas para las ciudades de Coquimbo, La Serena y Vicuña para los estudiantes de la escuela Guillermo Cereceda",6,2025-08-14T13:24:00,,
1002588-80-L125,Contratación de un servicio de producción para salidas pedagógicas de la Escuela Tomasa Olivares .,6,2025-08-14T15:00:00,,
1002772-55-LR25,SUMINISTRO DE SUTURAS DE POLIGLECAPRONE,8,2025-05-30T16:00:00,Adjudicada,"Las presentes Bases constituyen el instrumento guía destinado a celebrar un CONVENIO DE SUMINISTRO DE SUTURAS DE POLIGLECAPRONE DEL HOSPITAL DR. FÉLIX BULNES CERDA, en adelante Hospital, éstas, establecen los fines, condiciones y requisitos que deberán ser cumplidos por los oferentes, en todas y cada una de las partes que conformen su oferta, además de regular el todo el proceso licitatorio hasta la suscripción del correspondiente contrato."
1002772-97-LQ25,INSUMOS COMPATIBLES CON VENTILADOR BABYLOG VN500,6,2025-08-14T16:00:00,Cerrada,"Las presentes Bases constituyen el instrumento guía destinado a celebrar un CONVENIO DE SUMINISTRO DE INSUMOS COMPATIBLES CON VENTILADOR BABYLOG VN500 PARA EL HOSPITAL DR. FÉLIX BULNES CERDA, en adelante Hospital, éstas, establecen los fines, condiciones y requisitos que deberán ser cumplidos por los oferentes, en todas y cada una de las partes que conformen su oferta, además de regular el todo el proceso licitatorio hasta la suscripción del correspondiente contrato."
1002772-99-LQ25,BAJADAS DE INFUSION DOBLE CANAL CON COMODATO,6,2025-08-14T15:01:00,Cerrada,"Las presentes Bases constituyen el instrumento rector con el fin de suscribir un CONVENIO DE SUMINISTRO DE BAJADAS DE INFUSION DOBLE CANAL CON EQUIPO EN COMODATO, por un periodo de 24 meses, para el Hospital Dr. Félix Bulnes Cerda. Éstas, establecen los fines, condiciones y requisitos que deberán ser cumplidos por los oferentes, en todas y cada una de las partes que conformen su oferta y además de regular el todo el proceso licitatorio hasta la suscripción del correspondiente contrato y su ejecución."
